No.,Time,Source,Destination,Protocol,Length,Info,,,,,,,,,,,,,,,,,,,,,,,,,,,time 2,time 1,delay 1,delay 2,jiter
140,36.493413,74.125.68.190,192.168.100.10,TLSv1.3,494,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,36.493418,74.125.68.190,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,36.49342,74.125.68.190,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,36.493574,192.168.100.10,74.125.68.190,TCP,54,50251  >  443 [ACK] Seq=4086 Ack=4605 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,36.495023,74.125.68.190,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,36.495027,74.125.68.190,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,36.495133,192.168.100.10,74.125.68.190,TCP,54,50251  >  443 [ACK] Seq=4086 Ack=7429 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,36.495511,74.125.68.190,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,36.495518,74.125.68.190,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,36.495571,192.168.100.10,74.125.68.190,TCP,54,50251  >  443 [ACK] Seq=4086 Ack=10253 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,36.496863,74.125.68.190,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,36.496868,74.125.68.190,192.168.100.10,TLSv1.3,1466,Application Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,36.496984,192.168.100.10,74.125.68.190,TCP,54,50251  >  443 [ACK] Seq=4086 Ack=13077 Win=66304 Len=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
